Dataset,Algorithm,Population Length,MaxGenerations,MaxEvaluations,Selected Individuals,Selection Scheme,Replacement Scheme,Time(s),HV,Spread,NumSolutions,Spacing,Requirements per sol,AvgValue,BestAvgValue,NumGenerations,NumEvaluations
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.0777873992919922,0.8344746043430251,0.6976729139451985,27,0.28289959940353593,10.296296296296296,0.2934154630858706,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.2701468467712402,0.6918203287940127,0.7725639987804692,26,0.29758564338413324,9.5,0.27847971342648586,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.3251447677612305,0.8558045791927371,0.8350182953382668,32,0.2864139283061149,10.59375,0.2907493035423202,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.4125676155090332,0.7268283032756714,0.7323185319864935,33,0.3035647254668765,9.272727272727273,0.2792529787739596,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.2563972473144531,0.9536913415531837,0.7870029650536513,28,0.28795769187442705,11.25,0.3032704228928024,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.2437522411346436,0.7524999999999996,0.7184502635731794,32,0.2974148723318399,9.5625,0.2684568091784983,0.3374210357300972,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.2119362354278564,0.7865264998159734,0.7397083326831325,28,0.3202153588387321,9.464285714285714,0.2807010510250879,0.36104098359403347,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.2188694477081299,0.9536913415531837,0.7855779895949813,27,0.34190052488877726,10.592592592592593,0.2762519604727911,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.1585774421691895,0.8558045791927371,0.7262825545927821,25,0.32221078829613736,10.72,0.2819037224023463,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,20,nds,elitism,1.3255198001861572,0.8807327321801006,0.7918802323554585,30,0.25659741915587936,10.866666666666667,0.30292287243882704,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,50,nds,elitism,1.0819556713104248,0.8344746043430251,0.6976729139451985,27,0.28289959940353593,10.296296296296296,0.2934154630858706,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,50,nds,elitism,1.1490626335144043,0.6918203287940127,0.7725639987804692,26,0.29758564338413324,9.5,0.27847971342648586,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,50,nds,elitism,1.3367328643798828,0.8558045791927371,0.8350182953382668,32,0.2864139283061149,10.59375,0.2907493035423202,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,50,nds,elitism,1.4375457763671875,0.7268283032756714,0.7323185319864935,33,0.3035647254668765,9.272727272727273,0.2792529787739596,0.36415251784513825,50,2550
1,UMDAAlgorithm,50,50,0,50,nds,elitism,1.2770683765411377,0.9536913415531837,0.7870029650536513,28,0.28795769187442705,11.25,0.3032704228928024,0.36415251784513825,50,2550
