Dataset,Algorithm,Iterations,Solutions per Iteration,Initialization Type,Local Search Type,Path Relinking,Time(s),AvgValue,BestAvgValue,HV,Spread,NumSolutions,Spacing,NumGenerations
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.454020023345947,0.5248936661605911,0.6435695459609272,0.8718105140473562,0.6336752135821591,62,0.3626416124910168,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.262015104293823,0.5272594856270789,0.6435695459609272,0.9141854527051896,0.640937933569389,61,0.3709389601886279,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.038260459899902,0.5220961031851729,0.6435695459609272,0.9141854527051896,0.6396195131354582,64,0.38141411197629665,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,16.98114323616028,0.516483529709809,0.6435695459609272,0.8718105140473562,0.587464310340073,61,0.37912656074558065,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.562171459197998,0.5158079375550559,0.6435695459609272,0.9141854527051896,0.6757331032857542,66,0.38999554785296825,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.515462160110474,0.5264595038689223,0.6435695459609272,0.9141854527051896,0.690862677438337,65,0.3757387638873324,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.39780044555664,0.5313186354336887,0.6435695459609272,0.9141854527051896,0.6654807056198562,58,0.36107921860399705,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.1587872505188,0.5273584772271545,0.6435695459609272,0.9141854527051896,0.6780677056927267,59,0.37023996101735235,100
1,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,17.510329246520996,0.5229705284272801,0.6435695459609272,0.9141854527051896,0.6205480860139909,66,0.37838402630631957,100
s2,GRASP,100,100,stochastically,None,after_local,159.63405919075012,0.42687072269683685,0.5218610299019659,0.9857889588996789,0.7192562237797453,295,0.3011541832956103,100
s2,GRASP,100,100,stochastically,None,after_local,157.45812368392944,0.4206173200598923,0.5218610299019659,0.9857889588996789,0.6732378300244659,334,0.3119464318311581,100
s2,GRASP,100,100,stochastically,None,after_local,161.60986757278442,0.4288281114385436,0.5218610299019659,0.9857889588996789,0.674024299660033,310,0.2934760466892767,100
s2,GRASP,100,100,stochastically,None,after_local,155.3947892189026,0.4395373824700404,0.5218610299019659,0.9881354608931214,0.717594090548369,315,0.2673906599563879,100
s2,GRASP,100,100,stochastically,None,after_local,160.39016461372375,0.42375494435815086,0.5218610299019659,0.9881354608931214,0.6952429165412335,290,0.3051860492148382,100
s2,GRASP,100,100,stochastically,None,after_local,155.92149376869202,0.4343970178044135,0.5218610299019659,0.9857889588996789,0.686116935118732,317,0.27683318162197074,100
s2,GRASP,100,100,stochastically,None,after_local,156.20634937286377,0.43369530638472115,0.5218610299019659,0.9881354608931214,0.71153581565915,320,0.2833612008135312,100
s2,GRASP,100,100,stochastically,None,after_local,158.55119109153748,0.4299642551827812,0.5218610299019659,0.9857889588996789,0.7206964688840808,304,0.2940741939459663,100
s2,GRASP,100,100,stochastically,None,after_local,161.93306016921997,0.43460783658145435,0.5218610299019659,0.9881354608931214,0.6975803009382391,319,0.2795988313293201,100
s2,GRASP,100,100,stochastically,None,after_local,157.35996317863464,0.43156577975103105,0.5218610299019659,0.9881354608931214,0.6633014363205484,307,0.28575031597803835,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,266.16806507110596,0.46222788425877315,0.5605618765546774,0.9714141052976873,0.6959116856718193,305,0.31816007432388216,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,259.0416898727417,0.4772822396440257,0.5613281518899517,0.986151975736824,0.6925375324136503,305,0.28148906523083994,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,263.6593098640442,0.46262149068309216,0.5608982305583421,0.9714141052976873,0.6674753885543101,313,0.3120875750327708,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,260.513822555542,0.4685928757580968,0.5613281518899517,0.986151975736824,0.7146757855076775,289,0.3029010183766466,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,266.6247637271881,0.46102435243780726,0.5613136256588533,0.9714141052976873,0.6953882838484382,303,0.3236130539757153,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,262.70341515541077,0.4659664776322,0.5609085894095036,0.9714141052976873,0.6837910424765651,332,0.31381954626254654,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,267.84858417510986,0.45830499533012675,0.5609065203633676,0.9714141052976873,0.7050181886778103,308,0.3242887920641881,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,263.1303331851959,0.47752737848446086,0.5613281518899517,0.9714141052976873,0.6963838472892403,318,0.2797843447858002,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,262.57673048973083,0.4555923175598756,0.5604114827192758,0.9714141052976873,0.6836473752849671,320,0.3325546636452908,100
2,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,260.90258407592773,0.45115724224412546,0.5613260777286581,0.9714141052976873,0.6702245748074697,318,0.3409769415922305,100
s3,GRASP,100,100,stochastically,best_first_neighbor_sorted_domination,after_local,481.7521650791168,0.4495663394199587,0.5358933363300881,0.9772451540239073,0.7256445541672277,324,0.2997310205119447,100
