Dataset,Algorithm,Population Length,Generations,Selection Scheme,Selection Candidates,Crossover Scheme,Crossover Probability,Mutation Scheme,Mutation Probability,Replacement Scheme,Time(s),AvgValue,BestAvgValue,BestGeneration,HV,Spread,NumSolutions,Spacing,NumGenerations
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,16.211636066436768,0.48095396974881405,0.6162144381766742,12,0.6571659919028341,0.5388063704105397,25,0.3251326846101234,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,16.10049033164978,0.5170818218765489,0.6111097120028804,25,0.40846399214820267,0.5796424790966749,25,0.2868759518844661,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,17.40962505340576,0.4959360494390966,0.6147834134879516,4,0.546785363759048,0.6281418064761923,31,0.2566209767517794,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,15.390303134918213,0.5072244386257592,0.6364430615062325,3,0.40248313090418336,0.5917484799279984,25,0.2915453860428987,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,17.13209295272827,0.4946985915276454,0.6135630377469153,90,0.48109311740890687,0.6409341613535995,22,0.34499556794496,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,16.965203762054443,0.4983071713346484,0.6266688152786246,39,0.7003263403263404,0.6285749581600004,27,0.31705844566258085,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,74.83903360366821,0.36862851879321745,0.43128719988934616,72,0.23358378959770554,0.6030769191994786,50,0.14232180976144954,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,62.87637209892273,0.379237148432873,0.43786340679996455,87,0.15289835933930523,0.7061869888042563,35,0.13356709244184636,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,66.6626570224762,0.3794038128251189,0.44286653492056244,59,0.166441367454075,0.6610415424779238,45,0.1261541577306007,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,75.24514269828796,0.3681701533829021,0.4414361032676695,26,0.17566245712099843,0.6155725270909264,43,0.1217766837077038,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,70.19688534736633,0.3794537524787731,0.4281961450416959,24,0.16731216854179654,0.6541066979746383,47,0.12500059539320937,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,66.80691957473755,0.37536642521722924,0.43455073326788907,18,0.18323100830203695,0.639330633399785,43,0.12206640303314303,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,58.40709972381592,0.3714720322755285,0.44838177587143996,55,0.24137683465173632,0.6347284019774907,30,0.1433411111412933,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,64.23876357078552,0.36310983708067945,0.43782021963826273,78,0.20799072216894596,0.6793551601968336,40,0.14520944231401287,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,69.10520815849304,0.3787339745812543,0.4437557479612602,15,0.16137506381617697,0.6160275327523935,35,0.13328328993743982,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,66.68139338493347,0.3725207511468052,0.43901795836065166,56,0.19594330704509474,0.6650798013970023,40,0.13734183967655245,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,80.00837564468384,0.3750004529547468,0.4421188811486025,60,0.2022077454023423,0.7636643284704383,42,0.14248966090643198,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,78.57954812049866,0.3879521281606178,0.43179101587583724,84,0.1605141066825927,0.7603196712121083,48,0.13080756602784185,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,83.74405646324158,0.3850241371336108,0.4472265614009907,43,0.16285002509198443,0.6420469195571767,54,0.1320319452834702,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,85.9228446483612,0.37463918518187267,0.43962260338990994,7,0.177704918770158,0.6275321304860964,52,0.12184134489644352,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,71.61260294914246,0.3807410100525134,0.433782456190661,22,0.18715526658785586,0.6717946585536548,37,0.13319560287092083,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,84.70705509185791,0.3714271983997681,0.4431963189277353,74,0.18060516636985038,0.6119819805106126,49,0.14879161599558038,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,85.74684453010559,0.38593839792030826,0.4442557360416566,69,0.20872876829245743,0.6372419503974736,58,0.14249733471483472,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,72.11049604415894,0.3767013367648257,0.4523934274924918,81,0.15463261469585204,0.6778110087259602,39,0.14027903552906992,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,88.14789032936096,0.3807445393445724,0.4499816361745775,51,0.18382941641573794,0.6345032328609884,60,0.12207411098886863,100
s2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,1.0,elitism,69.55746698379517,0.3821238109849946,0.4313824936812666,62,0.14080462750537623,0.660304862913366,32,0.12899986654054596,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,30.064944982528687,0.4287605938431635,0.5024398952716225,75,0.2758992547071131,0.7596623737009917,27,0.19806278015026832,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,31.59716296195984,0.39771164009303317,0.5033346447612639,1,0.31841007629505913,0.5894753010249011,34,0.1945719983740954,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,30.189493417739868,0.4001047913456034,0.49218546898256543,83,0.34983703404336264,0.6279666002922049,29,0.17964226087717206,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,36.21741962432861,0.42976704661308546,0.48579742034997264,13,0.39737972821607936,0.7339402271746679,45,0.17530669109031002,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,29.61687469482422,0.4066127823020585,0.5018329872892165,66,0.461045342914317,0.5800932638318275,32,0.23344987249848012,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,28.472055912017822,0.4098785863375511,0.491541542157181,62,0.21652246998707292,0.5306309417299138,22,0.16518414535701106,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,31.45498561859131,0.3953346282566128,0.5153472601253528,33,0.2766665770861242,0.605956260055535,31,0.22275187776371458,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,32.52659320831299,0.41648645353096964,0.49482829373852183,37,0.43149250874099376,0.6732108338035488,33,0.1990035463389943,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,35.585683822631836,0.39598380359263374,0.4944794753193246,11,0.5003811690846522,0.6539574185369992,36,0.21195144440405791,100
s1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,30.810961961746216,0.42553800102328726,0.49444072943252565,99,0.3269040344320042,0.7123648235311664,26,0.1757775040331657,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,64.63126349449158,0.38616715365686616,0.4450126104780999,2,0.14339122030912238,0.7033688417090609,27,0.11214418753848067,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,66.68559002876282,0.3831197895636042,0.4337931709602272,59,0.14233213101672768,0.5802703684157731,33,0.1345413028132855,100
