Dataset,Algorithm,Iterations,Solutions per Iteration,Initialization Type,Local Search Type,Time(s),AvgValue,BestAvgValue,HV,Spread,NumSolutions,Spacing,NumGenerations
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,33.87222933769226,0.00412325979988567,0.005009588665805644,0.008743078820519945,0.6265919787362871,66,0.22510958663260164,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,34.62676668167114,0.004037479140696258,0.0051074321944346605,0.008730850738253484,0.6889011438546336,89,0.2338115471236169,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,33.41281771659851,0.004013205459624002,0.0051074321944346605,0.008730850738253484,0.6596373918572804,89,0.2440764005524136,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,33.01840376853943,0.004003604169751441,0.0051074321944346605,0.008730850738253484,0.6810881563071755,96,0.23658467439861988,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,34.90386247634888,0.004013992841148853,0.0051074321944346605,0.008730850738253484,0.6823056580147615,100,0.2566500854344767,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,34.163161277770996,0.004025537961295503,0.005347593582887702,0.0087118292769501,0.7061329538469528,106,0.2513504686914127,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,34.03234577178955,0.0040355710568476325,0.005347593582887702,0.0087118292769501,0.677800701269321,110,0.23568279635148667,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,33.15619874000549,0.00406629472933899,0.005459668897499119,0.0087118292769501,0.6777665563901693,114,0.25136871142083206,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,32.715513706207275,0.004081387371725839,0.005503698485382178,0.0087118292769501,0.643015220803603,114,0.24463861032673562,100
2,GRASP,100,20,uniform,best_first_neighbor_sorted_score_r,33.52260661125183,0.004093936587392902,0.005503698485382178,0.0087118292769501,0.6426742772486792,119,0.249217876312798,100
1,GRASP,50,500,uniform,best_first_neighbor_random,19.062410354614258,0.029440808778161267,0.04815229563269878,0.2907318358474409,0.6126662098064874,60,0.2867805724196726,50
1,GRASP,50,500,uniform,best_first_neighbor_random,19.16930651664734,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,50
1,GRASP,50,500,uniform,best_first_neighbor_random,18.951436281204224,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,50
1,GRASP,50,500,uniform,best_first_neighbor_random,19.41768789291382,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,50
1,GRASP,50,500,uniform,best_first_neighbor_random,19.240479469299316,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,50
1,GRASP,50,500,uniform,best_first_neighbor_random,18.889490842819214,0.029856053019614675,0.04815229563269878,0.2907318358474409,0.6099728817016667,64,0.2943374187012603,50
1,GRASP,50,500,uniform,best_first_neighbor_random,19.41573214530945,0.029856053019614675,0.04815229563269878,0.2907318358474409,0.6099728817016667,64,0.2943374187012603,50
1,GRASP,50,500,uniform,best_first_neighbor_random,18.981956720352173,0.029856053019614675,0.04815229563269878,0.2907318358474409,0.6099728817016667,64,0.2943374187012603,50
1,GRASP,50,500,uniform,best_first_neighbor_random,18.827296018600464,0.029856053019614675,0.04815229563269878,0.2907318358474409,0.6099728817016667,64,0.2943374187012603,50
1,GRASP,50,500,uniform,best_first_neighbor_random,18.61921525001526,0.029856053019614675,0.04815229563269878,0.2907318358474409,0.6099728817016667,64,0.2943374187012603,50
2,GRASP,200,40,stochastically,best_first_neighbor,24.3053457736969,0.0032100555224437786,0.006868615709756957,0.09327784954227912,0.5906201044285889,295,0.3269452232851843,200
2,GRASP,200,40,stochastically,best_first_neighbor,25.10462760925293,0.003217892303549101,0.006868615709756957,0.09327784954227912,0.5840891407936912,336,0.3264970883837006,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.717904806137085,0.0032418675793128896,0.006868615709756957,0.09327784954227912,0.600134682591096,372,0.3348904331710655,200
